Polylines2D,Position X,Position Y
138,-700.618058258149,240.440047361663
139,-700.918058258149,240.740047361663
140,-700.918058258149,242.640047361664
141,-696.368058258149,242.940047361664
142,-693.76805825815,242.940047361664
143,-693.46805825815,242.640047361664
144,-693.46805825815,240.740047361663
145,-693.76805825815,240.440047361663
146,-696.368058258149,240.440047361663
147,-696.668058258149,240.740047361663
148,-696.668058258149,242.640047361664
149,-692.118058258149,242.940047361664
150,-689.51805825815,242.940047361664
151,-689.21805825815,242.640047361664
152,-689.21805825815,240.740047361663
153,-689.51805825815,240.440047361663
154,-692.118058258149,240.440047361663
155,-692.418058258149,240.740047361663
156,-692.418058258149,242.640047361664
157,-687.868058258149,242.940047361664
158,-685.26805825815,242.940047361664
159,-684.96805825815,242.640047361664
160,-684.96805825815,240.740047361663
161,-685.26805825815,240.440047361663
162,-687.868058258149,240.440047361663
163,-688.168058258149,240.740047361663
164,-688.168058258149,242.640047361664
165,-683.618058258149,242.940047361664
166,-681.01805825815,242.940047361664
167,-680.71805825815,242.640047361664
168,-680.71805825815,240.740047361663
169,-681.01805825815,240.440047361663
170,-683.618058258149,240.440047361663
171,-683.918058258149,240.740047361663
172,-683.918058258149,242.640047361664
173,-679.368058258149,242.940047361664
174,-676.76805825815,242.940047361664
175,-676.46805825815,242.640047361664
176,-676.46805825815,240.740047361663
177,-676.76805825815,240.440047361663
178,-679.368058258149,240.440047361663
179,-679.668058258149,240.740047361663
180,-679.668058258149,242.640047361664
181,-675.118058258149,242.940047361664
182,-672.51805825815,242.940047361664
183,-672.21805825815,242.640047361664
184,-672.21805825815,240.740047361663
185,-672.51805825815,240.440047361663
186,-675.118058258149,240.440047361663
187,-675.418058258149,240.740047361663
188,-675.418058258149,242.640047361664
189,-670.868058258149,242.940047361664
190,-668.26805825815,242.940047361664
191,-667.96805825815,242.640047361664
192,-667.96805825815,240.740047361663
193,-668.26805825815,240.440047361663
194,-670.868058258149,240.440047361663
195,-671.168058258149,240.740047361663
196,-671.168058258149,242.640047361664
197,-666.618058258149,242.940047361664
198,-664.01805825815,242.940047361664
199,-663.71805825815,242.640047361664
200,-663.71805825815,240.740047361663
201,-664.01805825815,240.440047361663
202,-666.618058258149,240.440047361663
203,-666.918058258149,240.740047361663
204,-666.918058258149,242.640047361664
205,-666.618058258149,239.390047361664
206,-664.01805825815,239.390047361664
207,-663.71805825815,239.090047361664
208,-663.71805825815,237.190047361663
209,-664.01805825815,236.890047361663
210,-666.618058258149,236.890047361663
211,-666.918058258149,237.190047361663
212,-666.918058258149,239.090047361664
213,-670.868058258149,239.390047361664
214,-668.26805825815,239.390047361664
215,-667.96805825815,239.090047361664
216,-667.96805825815,237.190047361663
217,-668.26805825815,236.890047361663
218,-670.868058258149,236.890047361663
219,-671.168058258149,237.190047361663
220,-671.168058258149,239.090047361664
221,-675.118058258149,239.390047361664
222,-672.51805825815,239.390047361664
223,-672.21805825815,239.090047361664
224,-672.21805825815,237.190047361663
225,-672.51805825815,236.890047361663
226,-675.118058258149,236.890047361663
227,-675.418058258149,237.190047361663
228,-675.418058258149,239.090047361664
229,-679.368058258149,239.390047361664
230,-676.76805825815,239.390047361664
231,-676.46805825815,239.090047361664
232,-676.46805825815,237.190047361663
233,-676.76805825815,236.890047361663
234,-679.368058258149,236.890047361663
235,-679.668058258149,237.190047361663
236,-679.668058258149,239.090047361664
